"registration_timestamp","team_id","team_name","domain","participant_name","role","email","phone","usn","college","state","gender","accommodation_required","payment_utr","payment_status","payment_amount_detail","team_status"
"2026-09-18T09:24:30.703Z","AN-090","Tech Titans","AI & Machine Learning","Arjun Sharma","Leader","arjun.sample@example.com","9000000001","","KSSEM","Karnataka","Male","false","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 750 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.703Z","AN-090","Tech Titans","AI & Machine Learning","'-","Member","","","","KSSEM","Karnataka","","false","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 750 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.703Z","AN-090","Tech Titans","AI & Machine Learning","'-","Member","","","","KSSEM","Karnataka","","false","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 750 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.703Z","AN-091","Code Crafters","Cybersecurity","Neha Rao","Leader","neha.sample@example.com","9000000011","","BMS College of Engineering","Karnataka","Female","false","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 500 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.703Z","AN-091","Code Crafters","Cybersecurity","'-","Member","","","","BMS College of Engineering","Karnataka","","false","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 500 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.704Z","AN-092","Rural Innovators","Sustainable Technology","Vikram Patil","Leader","anirudhaworks365@gmail.com","9000000021","","Mysore Institute of Technology","Karnataka","Male","true","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 1000 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.704Z","AN-092","Rural Innovators","Sustainable Technology","'-","Member","","","","Mysore Institute of Technology","Karnataka","","true","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 1000 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.704Z","AN-092","Rural Innovators","Sustainable Technology","'-","Member","","","","Mysore Institute of Technology","Karnataka","","true","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 1000 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T09:24:30.704Z","AN-092","Rural Innovators","Sustainable Technology","'-","Member","345678901234","Pending","","Mysore Institute of Technology","Karnataka","","true","","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 1000 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T10:04:34.251Z","AN-090","Approval Probe Team","Artificial Intelligence & Machine Learning","Leader One","Leader","leader1@gmail.com","9876543210","LEAD001","KSSEM","Karnataka","Male","false","123456789012","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 500 INR","PENDING_PAYMENT_AUDIT"
"2026-09-18T10:04:34.251Z","AN-090","Approval Probe Team","Artificial Intelligence & Machine Learning","Member One","Member","member1@gmail.com","9876543211","MEM001","KSSEM","Karnataka","Female","false","123456789012","PENDING_PAYMENT_AUDIT","Pending admin payment audit for 500 INR","PENDING_PAYMENT_AUDIT"
